arquivo	escopo	categoria	git_blob_base_70d6b726	bytes	revisao
.builderignore	raiz	configuracao	55f239cec5181160941e72a9b9570d957d26ac44	375	inventariado_nao_revisado
.builderrules	raiz	configuracao	945a870a120d32d24827ab7b09d66b2562d0f5d2	789	inventariado_nao_revisado
.claude/commands/execute-next-lectum-task.md	.claude	documentacao	73bc368ecd752da483c72c00b2de33018fad31c1	1524	inventariado_nao_revisado
.claude/skills/execute-lectum-task/SKILL.md	.claude	documentacao	d81671155be6053ce9e605a5e6e674eac68a9006	4465	inventariado_nao_revisado
.codex/config.toml	.codex	configuracao	0332af4aa37029243d3b4832598983379739f77c	134	inventariado_nao_revisado
.codex/hooks.json	.codex	configuracao	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	0	inventariado_nao_revisado
.codex/instructions.md	.codex	documentacao	17e442df29f5586e11f2012d47272596589f557d	4183	inventariado_nao_revisado
.codex/prompts/execute-next-lectum-task.md	.codex	documentacao	244abe28178852af7904005dc50f572b931ac0a6	1757	inventariado_nao_revisado
.codex/skills/execute-lectum-task/SKILL.md	.codex	documentacao	6bebf2eb6b0da17e7a9843c0a3688b24c9583e5f	5995	inventariado_nao_revisado
.commitlintrc.cjs	raiz	codigo	87ddc1a55732fd9b14c39437015d4d2ca4e1078d	672	inventariado_nao_revisado
.cursor/mcp.json	.cursor	configuracao	162fabcc8851feb630af7845156d29998553f56b	131	inventariado_nao_revisado
.cursor/rules/lectum-release-workflow.mdc	.cursor	configuracao	ec53a466c4d40f4049eb4950d6b3c344de8446a3	1166	inventariado_nao_revisado
.gitattributes	raiz	configuracao	4df905f336dee5ebe52d4595e17a7091ccf013be	126	inventariado_nao_revisado
.github/copilot-instructions.md	.github	documentacao	dda43a3b85e0772524c0998896d2fb664208dc66	2927	inventariado_nao_revisado
.github/instructions/admin.instructions.md	.github	documentacao	6a4419b454fa59a009fdd640772bd9a9a4f7944e	1084	inventariado_nao_revisado
.github/instructions/backend.instructions.md	.github	documentacao	08aa4c20c495165b348b5ec98c5cf308a1f078ab	1721	inventariado_nao_revisado
.github/instructions/frontend.instructions.md	.github	documentacao	e60d32a252c2f72c8c7caa26ad03c0e4ed683a4e	1587	inventariado_nao_revisado
.github/instructions/product-docs.instructions.md	.github	documentacao	074ae4076ac0275d8152c6c02b2729df14393310	1382	inventariado_nao_revisado
.github/prompts/execute-next-lectum-task.prompt.md	.github	documentacao	aeddf53f5c74531af5d5c7c0692c849be4db5591	2305	inventariado_nao_revisado
