arquivo	proveniencia	sha256_integracao	presente_inventario_base
.builderignore	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	9849a4e2b46779637156688a9f01bd2c19d74c0adfa64edda6b9884275d9acd7	true
.builderrules	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	0334858634ecb4e8b848ff69c71c6ab3d96b1f48bef8866c4b5fbf00f5f87db0	true
.codex/skills/execute-lectum-task/SKILL.md	Lagrange;video;integral | Lagrange;estado_posts;integral | Lagrange;perfil;integral | Tesla;notificacoes;integral | Lagrange;perfil328;integral | Euclid;conteudo328;integral | Euclid;modais329;integral_inicial | Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial | Euclid;hidratacao;integral_inicial | Goodall;configuracoesSEO;integral_inicial | Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial | Euclid;anonimato337;integral_inicial_e_patch | Tesla;vocabulario337;integral_dos_ranges | Tesla;historico_notificacoes338;integral | Hubble;probe339;integral | Planck;legal340;integral | Carson;video340;integral | Bacon;cache340;integral | Socrates;migrations341;integral | Socrates;media342;integral | Bacon;retention342;integral	1ff706db6e53b6198e016a649ff3182279852ee362b4f14dc0ece4d9e0fafe3e	true
.commitlintrc.cjs	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	502afd3d025a4fa94bf8ef7d492f3dd6f85de8e3c68fff72b9246018bbe1057f	true
.gitattributes	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	769669fafc924493fdbb342add54a9c2573d7c04d8c5df93abef3ca45fa7012a	true
.gitignore	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	09207288b4b47630aa362d96a7ba3c31226769c18ebf2200ae1d79a8323c1efd	true
AGENTS.md	Lagrange;video;integral | Lagrange;estado_posts;integral | Lagrange;perfil;integral | Tesla;notificacoes;integral | Lagrange;perfil328;integral | Euclid;conteudo328;integral | Euclid;modais329;integral_inicial | Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial | Goodall;configuracoesSEO;integral_inicial | Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial | Euclid;anonimato337;integral_inicial_e_patch | Tesla;vocabulario337;integral_dos_ranges | Tesla;historico_notificacoes338;integral | Hubble;probe339;integral | Planck;legal340;integral | Carson;video340;integral | Bacon;cache340;integral | Socrates;migrations341;integral | Socrates;media342;integral	db6f3ceaefbd27b0e24b8e7b3a0d6dad07104882f0e773a990bb13833fc7d937	true
_product/PRIVACY-NOTES.md	Planck;legal340;integral	d71a6dd2dc542e6f2d8acc2f47dc1860aeac6d8571b219bd532e5312475465de	true
_product/decisions.md	Planck;legal340;integral	9908ea7525a4cda7afc29c488ffd80593bcfc84cb59447484fd690d6ca702b75	true
_product/legal/README.md	Planck;legal340;integral	ca13592072e1019bd7821fe71c95e326ab844dc932b95905126a51b61697b221	true
_product/legal/politica-de-privacidade-v0.1.md	Planck;legal340;integral	8dbab30c87ca98fd358d1a90e1db31f55bfaa012342a4da3aaa8a1d13d26f969	true
_product/legal/termos-de-servico-v0.1.md	Planck;legal340;integral	041129c1468736b0d13b00e3c78d726bc16b6da2a7b002ef35d15e9cf3a42da0	true
_product/legal/textos-curtos-legais-v0.1.md	Planck;legal340;integral	341c9df6bcf2589cd510d72cc8ffa3cb06593bb149421a65ddce25852fb7439f	true
_product/tasks/ARCHITECTURE.md	Lagrange;video;integral | Euclid;modais329;integral_inicial | Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial | Goodall;configuracoesSEO;integral_inicial | Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial | Euclid;anonimato337;integral_inicial_e_patch | Tesla;historico_notificacoes338;integral | Hubble;probe339;integral | Planck;legal340;integral | Carson;video340;integral | Bacon;cache340;integral | Socrates;migrations341;integral	6ecb0ac36eb1652301667981227afd029862b2dd356ddf8b4fe1d40950c10652	true
_product/tasks/PACKAGES.md	Lagrange;video;integral | Euclid;modais329;integral_inicial | Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial | Goodall;configuracoesSEO;integral_inicial | Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial | Euclid;anonimato337;integral_inicial_e_patch | Tesla;historico_notificacoes338;integral | Hubble;probe339;integral | Planck;legal340;integral | Carson;video340;integral | Bacon;cache340;integral | Socrates;migrations341;integral	f376b3ac6bebf0272c2d2d85990a697a7d864daa6e93915258593a9dc9a33cf6	true
_product/tasks/PROTO-INVENTORY.md	Euclid;denuncias;integral | Tesla;notificacoes;integral | Goodall;configuracoesSEO;integral_inicial | Euclid;anonimato337;integral_inicial_e_patch	52207cf11d6bf46c3b107048de2a4bba8fc2efb0a59094290bfb202efdb2b778	true
_product/tasks/TASK-144-upload-imagem-open-graph-admin.md	Goodall;configuracoesSEO;integral_inicial	297b2a1df89285bf6db4f9a556dd8630cc31789c8183a9b132c2430caba53b50	true
_product/tasks/TASK-153-permissao-nativa-direta-notificacoes.md	Tesla;notificacoes;integral	7f86c0da39e627a371e7dc568357947286deb784bef118747b57779878adeeb9	true
_product/tasks/TASK-154-digests-temporais-push-notificacoes.md	Tesla;notificacoes;integral	774415b29a294664ef57144f2e10e734fbf05a29701fdd72431278d4bec5cda7	true
